omega,delta,val_acc
1.0,0.01,0.8366
1.0,0.02,0.8467
1.0,0.05,0.8607
1.5,0.01,0.8291
1.5,0.02,0.8413
1.5,0.05,0.8577
2.0,0.01,0.8275
2.0,0.02,0.8380
2.0,0.05,0.8545
